epsilon,sigma
0.1881761119,541.2554139
0.1890094453,541.9314182
0.1898421789,542.5976225
0.1906750875,543.2482003
0.191507996,543.916698
0.1923409295,544.5811035
0.1931738381,545.234738
0.1940067466,545.8868536
0.1948396552,546.5160528
0.1956725887,547.1658289
0.1965052974,547.7944532
0.1973384058,548.4326569
0.1981713393,549.0558822
0.1990042479,549.6791935
0.1998371564,550.3195496
0.2006702899,550.9426916
0.2015027986,551.5630131
0.2023363318,552.1594979
0.2031688156,552.759627
0.2040017491,553.384217
0.2048346577,553.9940295
0.2056677911,554.5898677
0.2065006997,555.1974177
0.2073334083,555.7751616
0.2081663418,556.3821203
0.2089996752,556.9746589
0.209831959,557.5617066
0.2106652924,558.1471097
0.2114978011,558.7102359
0.2123311344,559.2889425
0.2131638431,559.8579739
0.2139967516,560.4244532
0.2148296852,560.9904689
0.2156627936,561.5565725
0.2164955022,562.1217718
0.2173286357,562.6934692
0.2181611194,563.2440377
0.2189946777,563.7960572
0.2198269615,564.3338825
0.220660095,564.885423
0.2214930035,565.4492365
0.2223261119,565.9880958
0.2231588456,566.5333172
0.223991954,567.0548225
0.2248248876,567.590077
0.2256577961,568.1428354
0.2264905047,568.6701076
0.2273236382,569.198257
0.2281563218,569.719549
0.2289892554,570.2338051
0.229821964,570.7368756
0.2306550975,571.2591533
0.2314882059,571.7791531
0.2323211394,572.2958197
0.2331538481,572.8096136
0.2339869815,573.3289318
0.2348198651,573.8291511
0.2356530235,574.3335842
0.2364853073,574.8239933
0.2373184158,575.3311716
0.2381513493,575.8322719
0.2389844578,576.3210358
0.2398171914,576.8107481
0.2406502999,577.2894187
0.2414832334,577.7985094
0.2423161419,578.2887208
0.2431488506,578.7695787
0.243981959,579.2517376
0.2448148926,579.7180919
0.2456476012,580.1928722
0.2464802849,580.6623015
0.2473136182,581.1336314
0.2481463518,581.6028065
0.2489794603,582.0727615
0.2498123938,582.5541816
0.2506451774,583.0239622
0.251478011,583.4851606
0.2523110945,583.9378528
0.253143928,584.3885195
0.2539770115,584.852857
0.2548098451,585.3131845
0.2556429285,585.7594854
0.2564757621,586.2029965
0.2573085957,586.6345742
0.2581414293,587.0979969
0.2589745127,587.5666445
0.2598073463,587.9941779
0.2606404298,588.4386826
0.2614732634,588.8700942
0.262306097,589.3020644
0.2631386807,589.7327184
0.263972014,590.1693099
0.2648048476,590.6084986
0.265637931,591.0332664
0.2664707646,591.4662791
0.2673033483,591.8977204
0.2681366817,592.3182148
0.2689697651,592.7373714
0.269802099,593.1466177
0.2706351824,593.5719137
0.271468016,593.9946108
0.2723010995,594.4096222
0.2731341829,594.8244141
0.2739670165,595.2191003
0.2747998501,595.6460028
0.2756326837,596.0600118
0.2764657671,596.4571559
0.2772988506,596.8705732
0.2781316842,597.2577149
0.2789645177,597.663937
0.2797971014,598.0588618
0.2806304348,598.4436989
0.2814630185,598.8498494
0.2822958521,599.2482308
0.2831289355,599.6546542
0.2839622689,600.0395045
0.2847946027,600.4213257
0.285627936,600.814347
0.2864605197,601.1955056
0.2872936032,601.5822656
0.2881264368,601.9737745
0.2889595202,602.3500173
0.2897923538,602.7330546
0.2906254373,603.0989976
0.291458021,603.4883143
0.2922913543,603.8787528
0.2931241879,604.2470922
0.2939572714,604.6139769
0.2947898551,604.9695229
